NUM,LOCATION,X,Y
1130560000,서울특별시 강북구 번제2동,958991,1958808
1130560300,서울특별시 강북구 번제2동,958991,1958808
1130560600,서울특별시 강북구 번제3동,959671,1958321
1130560800,서울특별시 강북구 번제3동,959671,1958321
1130561000,서울특별시 강북구 수유제1동,956527,1959011
1130561500,서울특별시 강북구 수유제1동,956491,1959015
1130562000,서울특별시 강북구 수유제2동,957635,1960730
1130562500,서울특별시 강북구 수유제2동,957642,1960706
1130563000,서울특별시 강북구 수유제3동,958024,1960281
1130563500,서울특별시 강북구 수유제3동,957992,1960273
1130564000,서울특별시 강북구 수유제4동,956040,1962620
1130564500,서울특별시 강북구 우이동,955963,1962612
1130565000,서울특별시 강북구 수유제5동,955990,1960017
1130565100,서울특별시 강북구 수유제6동,956350,1960158
1130566000,서울특별시 강북구 인수동,955990,1960017
1132051100,서울특별시 도봉구 창제1동,959933,1960758
1132051200,서울특별시 도봉구 창제2동,959132,1960357
1132051300,서울특별시 도봉구 창제3동,959534,1959905
1132051400,서울특별시 도봉구 창제4동,960426,1961399
1132051500,서울특별시 도봉구 창제5동,959675,1962002
1132052100,서울특별시 도봉구 도봉제1동,958331,1965196
1132052200,서울특별시 도봉구 도봉제2동,960188,1964766
1132066000,서울특별시 도봉구 쌍문제1동,957420,1961755
1132067000,서울특별시 도봉구 쌍문제2동,959153,1961983
1132068000,서울특별시 도봉구 쌍문제3동,958514,1960956
1132068100,서울특별시 도봉구 쌍문제4동,958557,1961871
1132069000,서울특별시 도봉구 방학제1동,959744,1962947
1132070000,서울특별시 도봉구 방학제2동,958842,1963330
1132071000,서울특별시 도봉구 방학제3동,957973,1962673
1132072000,서울특별시 도봉구 방학제4동,957973,1962673
1135056000,서울특별시 노원구 월계1동,960940,1958194
1135057000,서울특별시 노원구 월계2동,960468,1959581
1135058000,서울특별시 노원구 월계3동,961555,1958588
1135058100,서울특별시 노원구 월계4동,960940,1958194
1135059000,서울특별시 노원구 공릉제1동,962400,1958307
1135059500,서울특별시 노원구 공릉1동,962400,1958307
1135060000,서울특별시 노원구 공릉2동,964132,1959184
1135060100,서울특별시 노원구 공릉제3동,962400,1958307
1135060500,서울특별시 노원구 공릉1.3동,962400,1958307
1135061100,서울특별시 노원구 하계1동,962458,1959980
1135061200,서울특별시 노원구 하계2동,961579,1959589
1135061900,서울특별시 노원구 중계본동,963374,1961030
1135062100,서울특별시 노원구 중계1동,962318,1961233
1135062200,서울특별시 노원구 중계2동,961735,1960571
1135062300,서울특별시 노원구 중계3동,961735,1960571
1135062400,서울특별시 노원구 중계4동,963141,1962203
1135062500,서울특별시 노원구 중계2.3동,961735,1960571
1135063000,서울특별시 노원구 상계1동,961531,1964967
1135064000,서울특별시 노원구 상계2동,961800,1961922
1135065000,서울특별시 노원구 상계제3동,963248,1964100
1135066000,서울특별시 노원구 상계제4동,963248,1964100
1135066500,서울특별시 노원구 상계3.4동,963252,1964150
1135067000,서울특별시 노원구 상계5동,962039,1962735
1135068000,서울특별시 노원구 상계제6동,961152,1960892
1135069000,서울특별시 노원구 상계제7동,961152,1960892
1135069500,서울특별시 노원구 상계6.7동,961152,1960892
1135070000,서울특별시 노원구 상계8동,960629,1963059
1135071000,서울특별시 노원구 상계9동,961357,1963211
1135072000,서울특별시 노원구 상계10동,961064,1962347
1138051000,서울특별시 은평구 녹번동,949858,1956248
1138052000,서울특별시 은평구 불광제1동,950222,1957773
1138053000,서울특별시 은평구 불광제2동,949690,1958458
1138054000,서울특별시 은평구 불광제3동,949690,1958458
1138055100,서울특별시 은평구 갈현제1동,948318,1958540
1138055200,서울특별시 은평구 갈현제2동,948202,1957822
1138056000,서울특별시 은평구 구산동,947794,1957134
1138057000,서울특별시 은평구 대조동,949054,1957178
1138058000,서울특별시 은평구 응암제1동,949585,1955457
1138059000,서울특별시 은평구 응암제2동,949056,1954859
1138060000,서울특별시 은평구 응암제3동,948484,1954671
1138061000,서울특별시 은평구 역촌제1동,948372,1956343
1138062000,서울특별시 은평구 역촌제2동,948372,1956343
1138062500,서울특별시 은평구 역촌동,948372,1956343
1138063100,서울특별시 은평구 신사제1동,948010,1955568
1138063200,서울특별시 은평구 신사제2동,947593,1955072
1138064000,서울특별시 은평구 증산동,947518,1953872
1138065000,서울특별시 은평구 수색동,946577,1954250
1138066000,서울특별시 은평구 진관내동,950502,1960459
1138067000,서울특별시 은평구 진관외동,950502,1960459
1138068000,서울특별시 은평구 응암제4동,948514,1954645
1138069000,서울특별시 은평구 진관동,950501,1960423
1141051000,서울특별시 서대문구 충정로동,952172,1951862
1141052000,서울특별시 서대문구 천연동,951976,1952648
1141054000,서울특별시 서대문구 북아현제1동,951870,1951245
1141055000,서울특별시 서대문구 북아현제2동,951870,1951245
1141055500,서울특별시 서대문구 북아현동,951870,1951245
1141056000,서울특별시 서대문구 북아현제3동,952172,1951862
1141056500,서울특별시 서대문구 충현동,952172,1951862
1141057000,서울특별시 서대문구 대신동,950789,1951988
1141058000,서울특별시 서대문구 창천동,950789,1951988
1141058500,서울특별시 서대문구 신촌동,950789,1951988
1141059000,서울특별시 서대문구 연희제1동,949964,1952727
1141060000,서울특별시 서대문구 연희제2동,949801,1952902
1141061000,서울특별시 서대문구 연희제3동,949964,1952727
1141061500,서울특별시 서대문구 연희동,949964,1952727
1141062000,서울특별시 서대문구 홍제제1동,951286,1953536
1141063000,서울특별시 서대문구 홍제제2동,951738,1953991
1141064000,서울특별시 서대문구 홍제제3동,951544,1954872
1141065000,서울특별시 서대문구 홍제제4동,951738,1953991
1141065500,서울특별시 서대문구 홍제제2동,951738,1953991
1141066000,서울특별시 서대문구 홍은제1동,951195,1955725
1141067000,서울특별시 서대문구 홍은제2동,949642,1954317
1141068000,서울특별시 서대문구 홍은제3동,949642,1954317
1141068500,서울특별시 서대문구 홍은제2동,949642,1954317
1141069000,서울특별시 서대문구 남가좌제1동,948403,1952623
1141070000,서울특별시 서대문구 남가좌제2동,948847,1953388
1141071000,서울특별시 서대문구 북가좌제1동,947658,1953081
1141072000,서울특별시 서대문구 북가좌제2동,948295,1953689
1144051000,서울특별시 마포구 아현제1동,952248,1950177
1144052000,서울특별시 마포구 아현제2동,951658,1950236
1144053000,서울특별시 마포구 아현제3동,951658,1950236
1144054000,서울특별시 마포구 공덕제1동,952248,1950177
1144055000,서울특별시 마포구 공덕제2동,951658,1950236
1144055500,서울특별시 마포구 아현동,951627,1950265
1144056000,서울특별시 마포구 신공덕동,952248,1950177
1144056500,서울특별시 마포구 공덕동,952248,1950177
1144057000,서울특별시 마포구 도화제1동,951631,1949224
1144058000,서울특별시 마포구 도화제2동,951087,1948709
1144058500,서울특별시 마포구 도화동,951087,1948709
1144059000,서울특별시 마포구 용강동,950680,1949169
1144060000,서울특별시 마포구 대흥동,950686,1950348
1144061000,서울특별시 마포구 염리동,951227,1950233
1144062000,서울특별시 마포구 노고산동,950657,1950347
1144063000,서울특별시 마포구 신수동,950054,1949640
1144064000,서울특별시 마포구 창전동,949266,1949812
1144065000,서울특별시 마포구 상수동,949266,1949812
1144065500,서울특별시 마포구 서강동,949266,1949812
1144066000,서울특별시 마포구 서교동,949108,1950777
1144067000,서울특별시 마포구 동교동,949108,1950777
1144068000,서울특별시 마포구 합정동,947751,1949902
1144069000,서울특별시 마포구 망원제1동,946892,1950489
1144070000,서울특별시 마포구 망원제2동,946551,1950992
1144071000,서울특별시 마포구 연남동,949007,1951612
1144072000,서울특별시 마포구 성산제1동,947980,1951604
1144073000,서울특별시 마포구 성산제2동,947449,1952204
1144074000,서울특별시 마포구 상암동,944792,1952775
1147051000,서울특별시 양천구 목1동,944690,1947714
1147052000,서울특별시 양천구 목2동,944738,1949449
1147053000,서울특별시 양천구 목3동,943883,1949739
1147054000,서울특별시 양천구 목4동,944047,1948580
1147055000,서울특별시 양천구 목5동,945351,1948836
1147055100,서울특별시 양천구 목제6동,944918,1948855
1147056000,서울특별시 양천구 신월1동,941206,1948197
1147057000,서울특별시 양천구 신월2동,942140,1947217
1147058000,서울특별시 양천구 신월3동,940539,1948355
1147059000,서울특별시 양천구 신월4동,941708,1947141
1147060000,서울특별시 양천구 신월5동,940773,1949306
1147061000,서울특별시 양천구 신월6동,941954,1946570
1147061100,서울특별시 양천구 신월7동,940951,1947002
1147062000,서울특별시 양천구 신정1동,943444,1946728
1147063000,서울특별시 양천구 신정2동,944758,1946794
1147064000,서울특별시 양천구 신정3동,941729,1945986
1147065000,서울특별시 양천구 신정4동,943214,1947548
1147066000,서울특별시 양천구 신정제5동,943214,1947548
1147067000,서울특별시 양천구 신정6동,944084,1946516
1147068000,서울특별시 양천구 신정7동,943824,1945938
1150051000,서울특별시 강서구 염창동,944844,1950694
1150052000,서울특별시 강서구 등촌제1동,943338,1950932
1150053000,서울특별시 강서구 등촌제2동,943338,1949691
1150053500,서울특별시 강서구 등촌제3동,942277,1951599
1150054000,서울특별시 강서구 화곡제1동,941743,1948508
1150055000,서울특별시 강서구 화곡제2동,942972,1948347
1150056000,서울특별시 강서구 화곡제3동,941168,1949609
1150057000,서울특별시 강서구 화곡제4동,943320,1948704
1150058000,서울특별시 강서구 화곡제5동,941797,1950290
1150059000,서울특별시 강서구 화곡본동,942500,1949453
1150059100,서울특별시 강서구 화곡제6동,942677,1950450
1150059200,서울특별시 강서구 화곡제7동,941630,1948842
1150059300,서울특별시 강서구 화곡제8동,942428,1948467
1150060300,서울특별시 강서구 가양제1동,941402,1952883
1150060400,서울특별시 강서구 가양제2동,943024,1952319
1150060500,서울특별시 강서구 가양제3동,943697,1951681
1150061100,서울특별시 강서구 발산제1동,940428,1950331
1150061200,서울특별시 강서구 발산제2동,941797,1950290
1150061500,서울특별시 강서구 우장산동,941797,1950290
1150062000,서울특별시 강서구 공항동,937762,1951039
1150063000,서울특별시 강서구 방화제1동,939747,1952352
1150064000,서울특별시 강서구 방화제2동,938404,1953982
1150064100,서울특별시 강서구 방화제3동,939827,1953947
1153051000,서울특별시 구로구 신도림동,945488,1945829
1153052000,서울특별시 구로구 구로제1동,944733,1943929
1153053000,서울특별시 구로구 구로제2동,945514,1944340
1153054000,서울특별시 구로구 구로제3동,946445,1943065
1153054500,서울특별시 구로구 구로제3동분소,946445,1943065
1153055000,서울특별시 구로구 구로제4동,946198,1943738
1153056000,서울특별시 구로구 구로제5동,945838,1944898
1153056500,서울특별시 구로구 구로본동,945514,1944340
1153057000,서울특별시 구로구 구로제6동,946198,1943738
1153058000,서울특별시 구로구 가리봉제1동,946012,1942677
1153059000,서울특별시 구로구 가리봉제2동,945594,1942988
